"engl","spa"
"He looked well.","Él tenía buen aspecto."
"He looks bored.","Él parece aburrido."
"He looks young.","Él se ve joven."
"He loves music.","Adora la música."
"He loves music.","A él le encanta la música."
"He needs money.","Le falta dinero."
"He plays there.","Él juega allí."
"He respects me.","Él me respeta."
"He saw it also.","También lo vio."
"He scolded her.","La retó."
"He scolded her.","La increpó."
"He scolded her.","Él la riñó."
"He seems angry.","Parece enfadada."
"He seems happy.","Parece feliz."
"He seems tired.","Él parece cansado."
"He sells fruit.","Él vende frutas."
"He sells fruit.","Vende frutas."
"He should come.","Debería venir."
"He slapped her.","Él le abofeteó a ella."
"He surrendered.","Él se rindió."
"He surrendered.","Se rindió."
"He talks a lot.","Él habla mucho."
"He trusted you.","Él confió en vos."
"He walked away.","Él se fue."
"He walked home.","Él caminó a casa."
"He wants to go.","Quiere ir."
"He was English.","Él era inglés."
"He was at home.","Él estaba en casa."
"He was drowned.","Se ahogó."
"He was invited.","Él fue invitado."
"He was my boss.","Era mi jefe."
"He was patient.","Él era paciente."
"He was thirsty.","Él tenía sed."
"He went abroad.","Se fue al extranjero."
"He went to bed.","Él se fue a acostar."
"He went to bed.","Él se acostó."
"He worked hard.","Él trabajó duro."
"He's a bit shy.","Él es un poco tímido."
"He's a florist.","Es florista."
"He's a man now.","Ahora es un hombre."
"He's a slacker.","Él es un vago."
"He's a slacker.","Él es un perezoso."
"He's all right.","Está bien."
"He's all right.","Él está bien."
"He's an animal.","Él es un animal."
"He's an author.","Él es un escritor."
"He's depressed.","Está deprimido."
"He's in danger.","Él está en peligro."
"He's in prison.","Él está en la cárcel."
"He's in prison.","Él está en prisión."
"He's my father.","Él es mi padre."
"He's not going.","Él no va."
"He's not ready.","Él no está listo."
"He's so stupid.","Es muy tonto."
"He's too drunk.","Está demasiado borracho."
"He's uninsured.","Él no está asegurado."
"He's very fast.","Él es muy rápido."
"Hello everyone!","¡Hola a todos!"
"Help Tom study.","Ayuda a Tom a estudiar."
"Help Tom study.","Ayúdale a Tom a estudiar."
"Help is coming.","La ayuda está llegando."
"Here comes Tom.","Aquí viene Tom."
"Here is a book.","Aquí hay un libro."
"Here is my key.","Aquí está mi llave."
"Here they come.","Aquí vienen."
"Here's my card.","Aquí está mi tarjeta."
"Here's the bus.","Aquí está el bus."
"Here, try this.","Toma, prueba esto."
"Hey, come here.","Oye, ven aquí."
"Hey, come here.","Oye, venid aquí."
"Hey, come here.","Oiga, venga aquí."
"Hi, come on in.","Hola, pasa adelante."
"Hi, come on in.","Hola, entra."
"Hide that book.","Esconde ese libro."
"Hide the money.","Escondé la plata."
"His head ached.","Le dolía la cabeza."
"His son is ill.","Su hijo está enfermo."
"His son is ill.","Su hijo está malo."
"How are things?","¿Cómo van las cosas?"
"How can I help?","¿Cómo puedo ayudar?"
"How deep is it?","¿Cuán profundo es?"
"How disgusting!","¡Qué asco!"
"How do I begin?","¿Cómo empiezo?"
"How do we look?","¿Cómo nos vemos?"
"How high is it?","¿Qué tan alto es?"
"How is it made?","¿Cómo lo hacen?"
"How is it made?","¿Cómo se hace?"
"How is it made?","¿Cómo está hecho?"
"How lucky I am!","¡Qué afortunado soy!"
"How much is it?","¿Cuánto cuesta eso?"
"How much is it?","¿Cuánto es?"
"How old is Tom?","¿Cuántos años tiene Tom?"
"How tall is he?","¿Qué tan alto es él?"
"How tall is he?","¿Cómo de alto es él?"
"How tall is he?","¿Cuánto mide él?"
"How was Boston?","¿Qué tal en Boston?"
"How's business?","¿Cómo va el negocio?"
"How's the wife?","¿Cómo está tu mujer?"
"How's your son?","¿Cómo está vuestro hijo?"
"Hurry up, guys.","¡Apúrensen, muchachos!"
"I already know.","Ya sé."
"I am Hungarian.","Soy húngara."
"I am a shy boy.","Soy un hombre tímido."
"I am a shy boy.","Soy un chico tímido."
"I am a student.","Soy estudiante."
"I am a student.","Soy un estudiante."
"I am a teacher.","Yo soy profesor."
"I am a teacher.","Soy maestro."
"I am an artist.","Soy un artista."
"I am like them.","Soy como ellos."
"I am too short.","Soy demasiado bajo."
"I am too short.","Soy demasiado pequeño."
"I am very tall.","Soy muy alto."
"I ate an apple.","Comí una manzana."
"I ate the meat.","Me comí la carne."
"I ate too much.","Comí demasiado."
"I believed you.","Te creí."
"I bet it works.","Apuesto a que funciona."
"I borrow money.","Presto dinero."
"I bought a car.","Compré un carro."
"I bought a hat.","Compré un sombrero."
"I broke a nail.","Me rompí una uña."
"I broke my arm.","Me he roto el brazo."
"I broke my arm.","Me rompí el brazo."
"I broke my leg.","Me rompí la pierna."
"I brought wine.","Traje vino."
"I came for you.","Vine por ti."
"I came for you.","Vine por usted."
"I came for you.","Vine por vosotros."
"I came for you.","Vine por ustedes."
"I came on foot.","Vine a pie."
"I can do magic.","Puedo hacer magia."
"I can fix this.","Puedo arreglar esto."
"I can help Tom.","Puedo ayudar a Tom."
"I can help you.","Puedo ayudarte."
"I can prove it.","Puedo demostrarlo."
"I can see them.","Puedo verlos."
"I can't get up.","No puedo levantarme."
"I can't see it.","No lo puedo ver."
"I count on Tom.","Cuento con Tom."
"I deserve more.","Yo merezco más."
"I did it wrong.","Lo hice mal."
"I did warn you.","Os avisé."
"I didn't budge.","No cedí."
"I didn't cheat.","No engañé."
"I didn't cheat.","No hice trampas."
"I didn't do it.","Yo no lo he hecho."
"I didn't drive.","Yo no he conducido."
"I didn't laugh.","No me reí."
"I dislike eggs.","Odio los huevos."
"I do like fish.","A mí me gusta de veras el pescado."
"I do notice it.","Sí me doy cuenta."
"I do notice it.","Lo noto."
"I don't buy it.","No me lo trago."
"I don't buy it.","No pico."
"I don't follow.","No sigo."
"I don't get it.","No entiendo."
"I don't get it.","No lo cojo."
"I don't see it.","No lo veo."
"I don't see it.","Yo no lo veo."
"I don't use it.","No lo uso."
"I drank coffee.","Tomé café."
"I drink coffee.","Bebo café."
"I fear nothing.","No le temo a nada."
"I fear nothing.","No temo nada."
"I feel at ease.","Me siento en paz."
"I feel for you.","Lo siento por ti."
"I feel honored.","Me siento honrado."
"I feel nothing.","No siento nada."
"I feel so lost.","Me siento tan perdido."
"I feel trapped.","Me siento atrapado."
"I feel useless.","Me siento inútil."
"I felt cheated.","Me sentí engañado."
"I followed Tom.","Seguí a Tom."
"I gave my word.","Empeñé mi palabra."
"I gave my word.","Di mi palabra."
"I get up early.","Yo me levanto temprano."
"I go to school.","Voy a la escuela."
"I got arrested.","Me arrestaron."
"I got divorced.","Me divorcié."
"I got homesick.","Me puse nostálgico."
"I got homesick.","Tenía nostalgia."
"I got up early.","Me levanté temprano."
"I guarantee it.","Lo garantizo."
"I had a stroke.","Tuve un golpe."
"I had some fun.","Me divertí."
"I had to do it.","Tuve que hacerlo."
"I hate Mondays.","Odio los lunes."
"I hate Sundays.","Odio los domingos."
"I hate carrots.","Odio las zanahorias."
"I hate dancing.","Odio bailar."
"I hate dancing.","Detesto bailar."
"I hate insects.","Odio a los insectos."
"I hate ironing.","Odio planchar."
"I hate ironing.","Detesto planchar."
"I hate karaoke.","Odio el karaoke."
"I hate lawyers.","Odio a los abogados."
"I hate my boss.","Odio a mi jefe."
"I hate parties.","Odio las fiestas."
"I hate reading.","Odio leer."
"I hate riddles.","Odio los acertijos."
"I hate spiders.","Odio a las arañas."
"I hate spinach.","Odio las espinacas."
"I hate to iron.","Odio planchar."
"I hate to iron.","Detesto planchar."
"I hate working.","Odio trabajar."
"I hate working.","Detesto trabajar."
"I have a cough.","Tengo tos."
"I have a dream.","Tengo un sueño."
"I have a flute.","Tengo una flauta."
"I have a house.","Tengo una casa."
"I have a hunch.","Tengo una corazonada."
"I have a ranch.","Yo tengo un rancho."
"I have a truck.","Tengo un camión."
"I have an idea.","Tengo una idea."
"I have friends.","Tengo amigos."
"I have no food.","No tengo comida."
"I have no home.","No tengo hogar."
"I have no home.","No tengo casa."
"I have no idea.","Ni idea."
"I have no idea.","No tengo idea."
"I have no wife.","No tengo esposa."
"I have nothing.","No tengo nada."
"I have one kid.","Tengo un escuincle."
"I have sisters.","Tengo hermanas."
"I have the key.","Tengo la llave."
"I have to hide.","Me tengo que esconder."
"I have to work.","Tengo que trabajar."
"I heard voices.","Escuché voces."
"I hiccup a lot.","Tengo mucho hipo."
"I hope you die.","Ojalá que te mueras."
"I hope you die.","Espero que te mueras."
"I hope you win.","Espero que ganes."
"I hurried home.","Me apresuré a casa."
"I hurried home.","Me fui a casa corriendo."
"I hurried home.","Me volví a casa corriendo."
"I hurt my foot.","Me hice daño en el pie."
"I hurt my foot.","Me lastimé el pie."
"I hurt my knee.","Me lastimé la rodilla."
"I just checked.","Acabo de revisar."
"I just checked.","Acabo de checar."
"I just gave up.","Sencillamente me rendí."
"I just met him.","Me acabo de encontrar con él."
"I just shouted.","Acabo de gritar."
"I just sold it.","Acabo de venderlo."
"I just want it.","Simplemente lo quiero."
"I just want it.","Lo quiero ya."
"I just want it.","Lo quiero y ya está."
"I kept my word.","Mantuve mi palabra."
"I know it well.","Lo sé bien."
"I know the boy.","Conozco al chico."
"I like English.","Me gusta el inglés."
"I like castles.","Me gustan los castillos."
"I like chicken.","Me gusta el pollo."
"I like cookies.","Me gustan las galletas."
"I like cooking.","Me gusta cocinar."
"I like fishing.","Me gusta la pesca."
"I like history.","Me gusta la historia."
"I like jogging.","Me gusta trotar."
"I like mahjong.","Me gusta el mahjongg."
"I like my life.","Me gusta mi vida."
"I like noodles.","Me gustan los fideos."
"I like noodles.","Me gustan los tallarines."
"I like picnics.","Me gusta ir de picnic."
"I like puzzles.","Me gustan los rompecabezas."
"I like reading.","Me gusta mucho leer."
"I like sashimi.","Me gusta el sashimi."
"I like seafood.","Me gustan los mariscos."
"I like singing.","Me gusta cantar."
"I like stories.","Me gustan las historias."
"I like talking.","Me gusta hablar."
"I like the dog.","Me gusta el perro."
"I like to cook.","Me gusta cocinar."
"I like to read.","Me gusta mucho leer."
"I like to sing.","Me gusta cantar."
"I like to swim.","Me gusta nadar."
"I like to talk.","Me gusta hablar."
"I like to walk.","Me gusta caminar."
"I like to work.","Me gusta trabajar."
"I like turtles.","Me gustan las tortugas."
"I like walking.","Me gusta caminar."
"I like working.","Me gusta trabajar."
"I like writing.","Me gusta escribir."
"I like writing.","Me gusta la escritura."
"I live upstate.","Vivo en el norte."
"I live upstate.","Vivo hacia el norte."
"I love Harvard.","Me encanta Harvard."
"I love Harvard.","Adoro Harvard."
"I love animals.","Amo los animales."
"I love chicken.","Me encanta el pollo."
"I love chicken.","Me gusta el pollo."
"I love flowers.","Adoro las flores."
"I love kittens.","Amo los gatitos."
"I love lasagna.","Adoro la lasaña."
"I love parties.","Me encantan las fiestas."
"I love reading.","Me encanta leer."
"I love sunsets.","Me gustan mucho las puestas de Sol."
"I love the sun.","Me gusta el sol."
"I love the sun.","Me gusta mucho el sol."
"I love winning.","Adoro ganar."
"I loved Boston.","Me gustaba Boston."
"I made cookies.","Hice galletitas."
"I may be wrong.","Puede que me equivoque."
"I may be wrong.","Puedo estar equivocado."
"I mean no harm.","No quiero hacer daño."
"I met a friend.","Me encontré con una amiga."
"I met him once.","Lo conocí una vez."
"I miss you all.","Os echo de menos a todos."
"I must buy one.","Tengo que comprar uno."
"I must go back.","Debo regresar."
"I must go back.","Debo volver."
"I need a favor.","Necesito un favor."
"I need a favor.","Necesito una gauchada."
"I need a medic.","Necesito a un doctor."
"I need a raise.","Necesito un aumento."
"I need a ruler.","Necesito una regla."
"I need a smoke.","Necesito un cigarrillo."
"I need a snack.","Necesito un bocadillo."
"I need a stamp.","Necesito un sello."
"I need a towel.","Necesito una toalla."
"I need answers.","Necesito respuestas."
"I need friends.","Necesito tener amigos."
"I need it ASAP.","Lo necesito tan pronto como sea posible."
"I need my keys.","Necesito mis llaves."
"I need surgery.","Necesito cirugía."
"I need to quit.","Necesito dejarlo."
"I need to rest.","Necesito descansar."
"I need to stop.","Tengo que parar."
"I need to work.","Necesito trabajar."
"I needed money.","Necesitaba dinero."
"I often travel.","Viajo a menudo."
"I owe him $100.","Le debo cien dólares."
"I own this car.","Tengo este auto."
"I pay Tom well.","Le pago bien a Tom."
"I pay my taxes.","Yo pago mis impuestos."
"I plead guilty.","Me declaro culpable."
"I promised Tom.","Se lo prometí a Tom."
"I punished Tom.","Castigué a Tom."
"I quit smoking.","Dejé de fumar."
"I raise cattle.","Yo crío ganado."
"I remember Tom.","Me acuerdo de Tom."
"I remember now.","Ahora recuerdo."
"I remember you.","Te recuerdo."
"I remember you.","Me acuerdo de ti."
"I said go away.","Dije que te largues."
"I said goodbye.","Dije que adiós."
"I said nothing.","No dije nada."
"I said shut up!","¡Te dije que te calles!"
"I said shut up!","¡Dije cierra la boca!"
"I saw a friend.","Vi a un amigo."
"I saw a friend.","Vi a una amiga."
"I saw five men.","Vi a cinco hombres."
"I saw her swim.","La vi nadar."
"I saw him jump.","Le vi saltar."
"I saw it first.","Yo lo vi primero."
"I saw it on TV.","Lo vi en la televisión."
"I saw somebody.","Vi a alguien."
"I saw the news.","Vi las noticias."
"I see the girl.","Veo a la niña."
"I see the girl.","Veo a la chica."
"I see the girl.","Veo a la muchacha."
"I see the girl.","Veo una niña."
"I sell flowers.","Vendo flores."
"I smell coffee.","Huelo café."
"I sneeze a lot.","Estornudo mucho."
"I sold the car.","Vendí el auto."
"I speak French.","Hablo francés."
"I speak French.","Yo hablo francés."
"I study French.","Estudio francés."
"I study Korean.","Estudio coreano."
"I study Korean.","Aprendo coreano."
"I study Korean.","Yo estudio coreano."
"I teach French.","Enseño francés."
"I took the job.","Acepté el empleo."
"I took the job.","Acepté el trabajo."
"I turned right.","Giré a la derecha."
"I usually walk.","Normalmente voy andando."
"I usually walk.","Suelo ir andando."
"I want a glass.","Quisiera un vaso."
"I want a knife.","Quiero un cuchillo."
"I want a puppy.","Quiero un cachorro."
"I want a puppy.","Quiero un perrito."
"I want a puppy.","Quiero un cachorrito."
"I want another.","Quiero otro."
"I want popcorn.","Quiero palomitas."
"I want popcorn.","Quiero palomitas de maíz."
"I want respect.","Quiero respeto."
"I want the fan.","Quiero el ventilador."
"I want to help.","Quiero ayudar."
"I want to know.","Quiero saberlo."
"I want to live.","Quiero vivir."
"I want to play.","Quiero jugar."
"I want to quit.","Quiero renunciar."
"I want to rest.","Quiero descansar."
"I want to talk.","Quiero hablar."
"I want to work.","Quiero trabajar."
"I was abducted.","Me secuestraron."
"I was abducted.","Me raptaron."
"I was all ears.","Era todo oídos."
"I was an idiot.","Fui un idiota."
"I was an idiot.","Era un idiota."
"I was an idiot.","Fui una idiota."
"I was an idiot.","Era una idiota."
"I was arrested.","Fui arrestado."
"I was arrested.","Fui arrestada."
"I was barefoot.","Estaba descalzo."
"I was bleeding.","Sangraba."
"I was captured.","Fui capturado."
"I was dreaming.","Estaba soñando."
"I was insulted.","Fui ofendido."
"I was laughing.","Me estaba riendo."
"I was left out.","Me dejaron fuera."
"I was mistaken.","Yo estaba equivocado."
"I was on leave.","Estaba de vacaciones."
"I was restless.","Yo era inquieto."
"I was sleeping.","Estaba durmiendo."
"I was sweating.","Estaba sudando."
"I was teaching.","Yo estaba enseñando."
"I was thrilled.","Estaba excitado."
"I was too fast.","Yo era demasiado rápido."
"I was welcomed.","Fui bienvenido."
"I was worn out.","Estaba agotado."
"I wasn't drunk.","No estaba borracho."
"I wasn't drunk.","No estaba ebrio."
"I wasn't happy.","No era feliz."
"I wasn't lucky.","No tuve suerte."
"I wasn't ready.","No estaba listo."
"I wasn't there.","Yo no estaba allí."
"I wear glasses.","Uso gafas."
"I went fishing.","Fui a pescar."
"I went on foot.","Fui a pie."
"I will prosper.","Prosperaré."
"I will sue you.","Te demandaré."
"I wish I could.","Desearía poder."
"I wish I could.","Ojalá pudiera."
"I'd be careful.","Sería cuidadoso."
"I'd be honored.","Sería un honor para mí."
"I'd rather die.","Preferiría morir."
"I'd rather not.","Preferiría que no."
"I'll ask later.","Preguntaré más tarde."
"I'll ask later.","Voy a preguntar más tarde."
"I'll be around.","Estaré cerca."
"I'll be around.","Estaré por ahí."
"I'll be around.","Voy a estar por ahí."
"I'll be direct.","Seré directo."
"I'll be direct.","Voy a ser directo."
"I'll call them.","Los llamaré."
"I'll come back.","Volveré."
"I'll eat pizza.","Comeré pizza."
"I'll get a cab.","Voy a tomar un taxi."
"I'll get on it.","Me encargaré de eso."
"I'll get on it.","Me ocuparé de eso."
"I'll go by car.","Iré en auto."
"I'll go by car.","Iré en coche."
"I'll handle it.","Yo me ocuparé de ello."
"I'll need that.","Lo necesito."
"I'll pay extra.","Pagaré la extra."
"I'll pay later.","Pagaré más tarde."
"I'll pay today.","Pagaré hoy."
"I'll phone you.","Te llamaré."
"I'll scold him.","Lo regañaré."
"I'll scold him.","Le reñiré."
"I'll see to it.","Yo me ocuparé."
"I'll shoot you.","Te pego un tiro."
"I'll stay here.","Me voy a quedar acá."
"I'll stay home.","Me quedaré en casa."
"I'll stay home.","Me voy a quedar en casa."
"I'll teach Tom.","Le voy a enseñar a Tomás."
"I'll thank Tom.","Le daré las gracias a Tom."
"I'll treat you.","Te invitaré."
"I'll wait here.","Yo esperaré aquí."
"I'm Tom's boss.","Soy el jefe de Tom."
"I'm Tom's wife.","Soy la esposa de Tom."
"I'm a beginner.","Soy principiante."
"I'm a bit busy.","Estoy un poco ocupada."
"I'm a diabetic.","Soy diabética."
"I'm a free man.","Soy un hombre libre."
"I'm a good guy.","Soy un buen tipo."
"I'm a musician.","Soy músico."
"I'm a nice guy.","Soy un buen sujeto."
"I'm a prisoner.","Soy un prisionero."
"I'm a salesman.","Soy un hombre de negocios."
"I'm all for it.","Voy con todas por eso."
"I'm alone here.","Estoy sola acá."
"I'm an atheist.","Soy ateo."
"I'm an old man.","Soy un anciano."
"I'm astonished.","Estoy asombrada."
"I'm behind him.","Está detrás de él."
"I'm behind you.","Estoy detrás de ti."
"I'm dead tired.","Estoy muerta de cansancio."
"I'm dependable.","Soy confiable."
"I'm devastated.","Estoy devastada."
"I'm diplomatic.","Soy diplomática."
"I'm eating now.","Ahora estoy comiendo."
"I'm eating now.","Estoy comiendo ahora."
"I'm fascinated.","Estoy fascinada."
"I'm feeling it.","Lo estoy sintiendo."
"I'm going back.","Voy de regreso."
"I'm going bald.","Me estoy quedando calvo."
"I'm going home.","Voy a casa."
"I'm happy, Tom.","Tom, soy feliz."
"I'm having fun.","Me estoy divirtiendo."
"I'm illiterate.","Soy analfabeto."
"I'm in a hurry.","Estoy apurado."
"I'm in the car.","Estoy en el coche."
"I'm interested.","Estoy interesado."
"I'm interested.","Estoy interesada."
"I'm just a kid.","Soy solo un niño."
"I'm mad at you.","Estoy enfadado contigo."
"I'm making tea.","Estoy preparando té."
"I'm meditating.","Estoy meditando."
"I'm no quitter.","Yo no renuncio así nada más."
"I'm not a baby.","Ya no soy un bebé."
"I'm not a hero.","No soy un héroe."
"I'm not a liar.","No soy mentirosa."
"I'm not afraid.","No tengo miedo."
"I'm not afraid.","No estoy asustado."
"I'm not crying.","No estoy llorando."
"I'm not famous.","No soy famoso."
"I'm not guilty.","No soy culpable."
"I'm not hiding.","No me estoy escondiendo."
"I'm not hungry.","Yo no tengo hambre."
"I'm not insane.","No estoy loco."
"I'm not insane.","No estoy loca."
"I'm not joking.","No estoy bromeando."
"I'm not racist.","No soy racista."
"I'm not scared.","No tengo miedo."
"I'm not scared.","No estoy asustado."
"I'm not skinny.","No soy delgado."
"I'm not sleepy.","No tengo sueño."
"I'm not so old.","No soy tan mayor."
"I'm not strong.","No soy fuerte."
"I'm often here.","Yo estoy aquí a menudo."
"I'm old enough.","Soy suficientemente mayor."
"I'm on holiday.","Estoy de vacaciones."
"I'm only human.","Solo soy humano."
"I'm optimistic.","Soy optimista."
"I'm out of gas.","Estoy sin bencina."
"I'm reading it.","Lo estoy leyendo."
"I'm really old.","Soy muy viejo."
"I'm remodeling.","Estoy de reforma."
"I'm so excited.","Estoy tan emocionado."
"I'm so excited.","Estoy muy emocionada."
"I'm so thirsty.","Tengo tanta sed."
"I'm so unlucky!","¡Soy tan desafortunado!"
"I'm speechless.","Estoy sin palabras."
"I'm still busy.","Todavía estoy ocupado."
"I'm still busy.","Todavía estoy ocupada."
"I'm still here.","Todavía estoy acá."
"I'm still here.","Todavía estoy aquí."
"I'm the oldest.","Soy el más viejo."
"I'm undressing.","Me desnudo."
"I'm undressing.","Me estoy desvistiendo."
"I'm undressing.","Me estoy desnudando."
"I'm undressing.","Me estoy sacando la ropa."
"I'm unemployed.","Estoy en paro."
"I'm unemployed.","Estoy desempleado."
"I'm unemployed.","Estoy parado."
"I'm unemployed.","Estoy desempleada."
"I'm unemployed.","No tengo empleo."
"I'm used to it.","Estoy acostumbrado."
"I'm used to it.","Estoy acostumbrada."
"I'm using this.","Estoy usando esto."
"I'm very angry.","Estoy muy enojada."
"I'm very angry.","Estoy muy enojado."
"I'm very blunt.","Soy muy rudo."
"I'm very happy.","Soy muy feliz."
"I'm very short.","Soy muy pequeño."
"I'm very sorry.","Lo siento mucho."
"I'm very tired.","Estoy muy cansado."
"I'm wide awake.","Estoy muy despierto."
"I've been seen.","Me vieron."
"I've been shot.","Me dispararon."
"I've been sued.","Me demandaron."
"I've earned it.","Me lo gané."
"I've got a son.","Tengo un hijo."
"I've made stew.","He hecho guiso."
"I've seen that.","He visto eso."
"I've seen that.","Lo he visto."
"I've seen them.","Los he visto."
"I've seen them.","Los vi."
"If only I knew!","¡Ojalá lo supiera!"
"Is Tom adopted?","¿Tom es adoptado?"
"Is Tom at home?","¿Está Tom en casa?"
"Is Tom injured?","¿Tom está herido?"
"Is Tom insured?","¿Está asegurado Tom?"
"Is Tom jealous?","¿Tom está celoso?"
"Is Tom kidding?","¿Tom está bromeando?"
"Is Tom married?","¿Tomás está casado?"
"Is anyone hurt?","¿Alguien está lastimado?"
"Is anyone hurt?","¿Se lastimó alguien?"
"Is he American?","¿Él es americano?"
"Is he Japanese?","¿Es él japonés?"
"Is he a doctor?","¿Es médico?"
"Is he a doctor?","¿Es doctor?"
"Is he a doctor?","¿Él es médico?"
"Is he sleeping?","¿Está durmiendo?"
"Is he sleeping?","¿Está dormido?"
"Is it possible?","¿Es posible?"
"Is it too late?","¿Es demasiado tarde?"
"Is she at home?","¿Está ella en casa?"
"Is that French?","¿Eso es francés?"
"Is that a bear?","¿Es eso un oso?"
"Is that a ring?","¿Es eso un timbre?"
"Is that a ring?","¿Es eso un anillo?"
"Is that better?","¿Está mejor?"
"Is that enough?","¿Eso es suficiente?"
"Is that for me?","¿Es para mí?"
"Is that likely?","¿Es eso probable?"
"Is that normal?","¿Es esto normal?"
"Is that so bad?","¿Acaso es tan malo?"
"Is this French?","¿Esto es francés?"
"Is this a hoax?","¿Es esto una broma?"
"Is this a hoax?","¿Es esto un engaño?"
"Is this a hoax?","¿Es esto una trampa?"
"Is this for me?","¿Es para mí?"
"Is this normal?","¿Es esto normal?"
"Isn't it black?","¿No es negro?"
"Isn't it black?","¿Acaso no es negro?"
"Isn't it black?","¿No es negra?"
"It can be done.","Se puede hacer."
"It can be done.","Puede hacerse."
"It didn't work.","No funcionó."
"It gets better.","Se pone mejor."
"It gets better.","Mejora."
"It has to stop.","Tiene que parar."
"It is Saturday.","Es sábado."
"It isn't crazy.","No es una locura."
"It looks great.","Se ve estupendo."
"It may be true.","Es posible que eso sea cierto."
"It may be true.","Puede ser cierto."
"It smells good!","Huele bien."
"It smells good!","¡Huele rico!"
"It sounds easy.","Parece fácil."
"It was a dream.","Era un sueño."
"It was a mouse.","Era un ratón."
"It was amusing.","Fue ameno."
"It was for Tom.","Era para Tom."
"It was my idea.","Eso fue idea mía."
"It was my idea.","Era idea mía."
"It was my turn.","Era mi turno."
"It was my turn.","Era mi hora."
"It was nothing.","No era nada."
"It was on sale.","Estaba a la venta."
"It was on sale.","Estaba en venta."
"It was perfect.","Era perfecto."
"It was planned.","Fue planeado."
"It was snowing.","Estaba nevando."
"It was snowing.","Nevó."
"It was snowing.","Nevaba."
"It was so good.","Estaba tan bien."
"It wasn't easy.","No fue fácil."
"It wasn't hard.","No era difícil."
"It wasn't hard.","No fue difícil."
"It wasn't hers.","No era de ella."
"It wasn't luck.","No fue suerte."
"It wasn't ours.","No era nuestro."
"It wasn't ours.","No era nuestra."
"It wasn't real.","No fue real."
"It wasn't that.","No era eso."
"It won't budge.","No cederá."
"It'll be ready.","Estará listo."
"It's Christmas.","Es navidad."
"It's OK to cry.","Está bien llorar."
"It's Tom's car.","Es el auto de Tom."
"It's Tom's job.","Es la tarea de Tom."
"It's Tom's job.","Es el trabajo de Tom."
"It's Tom's job.","Es el deber de Tom."
"It's Wednesday.","Es miércoles."
"It's Wednesday.","Estamos a miércoles."
"It's a classic.","Es un clásico."
"It's a classic.","Ese es un clásico."
"It's a gimmick.","Es un reclamo."
"It's a mistake.","Es un error."
"It's a new day.","Es un nuevo día."
"It's a problem.","Ese es un problema."
"It's a problem.","Es un problema."
"It's all yours.","Es todo tuyo."
"It's an excuse.","Es una excusa."
"It's an insult.","Es un insulto."
"It's beyond me.","Es superior a mí."
"It's beyond me.","Me supera."
"It's delicious.","Es delicioso."
"It's different.","Es diferente."
"It's expensive.","Es caro."
"It's hot today.","Hoy hace calor."
"It's hot today.","Está haciendo calor hoy."
"It's identical.","Es idéntico."
"It's important.","Es importante."
"It's improving.","Está mejorando."
"It's no secret.","No es ningún secreto."
"It's not cheap.","No es barato."
"It's not clean.","No está limpio."
"It's not clean.","No está limpia."
"It's not funny.","No es gracioso."
"It's not funny.","No es divertido."
"It's not weird.","No es raro."
"It's our fault.","Es culpa nuestra."
"It's ready now.","Ahora está listo."
"It's redundant.","Es redundante."
"It's rush hour.","Es la hora pico."
"It's safe here.","Aquí estamos seguros."
"It's their job.","Es su trabajo."
"It's there now.","Ahora está ahí."
"It's this book.","Es este libro."
"It's too early.","Es demasiado temprano."
"It's too heavy.","Es demasiado pesado."
"It's too large.","Es demasiado grande."
"It's too quiet.","Hay demasiada calma."
"It's too risky.","Es demasiado arriesgado."
"It's too short.","Es muy corto."
"It's too small.","Es muy pequeño."
"It's up to you.","Depende de ti."
"It's up to you.","Es tu decisión."
"It's up to you.","Tú decides."
"It's very dark.","Está muy oscuro."
"It's very good.","Está muy bien."
"It's very good.","Es muy bueno."
"It's very late.","Es muy tarde."
"It's very slow.","Es muy lento."
"It's vibrating.","Está vibrando."
"It's well done.","Está bien hecho."
"It's well done.","Está hecho bien."
"It's what I am.","Es lo que soy."
"It's wonderful!","¡Es maravilloso!"
"It's your book.","Es tu libro."
"It's your duty.","Es tu deber."
"It's your life.","Es tu vida."
"It's your move.","Es tu turno."
"It's your move.","Es tu movida."
"It's your move.","Te toca a ti."
"It's your turn.","Es tu turno."
"It's your turn.","Te toca a ti."
"Just follow me.","Tan solo sígueme."
"Just forget it.","Olvídalo ya."
"Just go for it.","Simplemente hazlo."
"Just go for it.","Limítate a hacerlo."
"Just go for it.","Hazlo y punto."
"Just go for it.","Hazlo y ya."
"Just let me go.","Déjame irme."
"Keep it on you.","Llévalo contigo."
"Keep it on you.","Consérvalo contigo."
"Keep listening.","Permanezca a la escucha."
"Keep on trying.","Sigue intentando."
"Keep on trying.","Siga intentando."
"Keep searching.","Sigue buscando."
"Kids are cruel.","Los niños son crueles."
"Lean in closer.","Inclínate más cerca."
"Leave it there.","Déjelo ahí."
"Leave it to me.","Déjamelo a mí."
"Leave me alone!","¡Déjame en paz!"
"Leave me alone!","¡Déjame sola!"
"Leave me alone!","¡Dejame en paz!"
"Leave me alone!","Déjame solo."
"Leave me alone.","¡Déjame sola!"
"Leave me alone.","Déjame solo."
"Leave me alone.","Déjeme solo."
"Leave me alone.","Déjeme sola."
"Leave the room.","Sal de la sala."
"Leave the room.","Sal de la habitación."
"Leave the room.","Salí de la habitación."
